model,obs_no,used_in_diagnostics,Date,arma_resid,egarchx_cond_vol,egarchx_std_resid,abs_egarchx_std_resid,devaluation_20100211_dummy,crisis_dummy,vix_change,us10y_change,dxy_return,oil_return,vnindex_return
ARMA32_EGARCH_t_no_X,6,False,2010-02-11,2.009600380245262,0.09750538495109835,20.61014764726207,20.61014764726207,1,1,-1.4399999999999975,0.0099999999999997,-0.0499948971374841,1.0019454603318323,1.8227279617483385
ARMA32_EGARCH_t_no_X,258,True,2011-02-11,0.7892995332218726,0.04691582925075076,16.8237361638288,16.8237361638288,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
ARMA32_EGARCH_t_no_X,2126,True,2018-07-23,0.6770040428685087,0.06057007679400732,11.177202980457341,11.177202980457341,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
ARMA32_EGARCH_t_no_X,1386,True,2015-08-12,0.8343087819173014,0.0817310764091414,10.207974965859941,10.207974965859941,0,0,-0.1000000000000014,-0.0099999999999997,-1.0643332330368516,0.2548362319696906,-1.4475028673203385
ARMA32_EGARCH_t_no_X,2317,True,2019-04-26,0.2980544557673624,0.036173501921406837,8.23957980111898,8.23957980111898,0,0,-0.5199999999999996,-0.0300000000000002,-0.1936648206322111,-3.019214702079065,0.564039227537716
ARMA32_EGARCH_t_no_X,308,True,2011-04-26,-1.189459442119671,0.14998013594858597,-7.930779863590898,7.930779863590898,0,0,-0.1500000000000003,-0.0500000000000002,-0.2029379466180536,0.0358102062913978,-0.8108035965386229
ARMA32_EGARCH_t_no_X,2953,True,2021-11-04,-0.29624598412818887,0.042213233723068865,-7.0178462534201715,7.0178462534201715,0,0,0.3399999999999998,-0.07,0.5206938772963632,-2.429674935594761,0.2793297905612668
ARMA32_EGARCH_t_no_X,3082,True,2022-05-11,0.47045873749162787,0.06740562564828473,6.9795174062537555,6.9795174062537555,0,1,-0.4299999999999997,-0.08,-0.0673819113478302,5.614415279814455,0.6142388170186308
ARMA32_EGARCH_t_no_X,136,True,2010-08-18,1.73980708492564,0.26307317027597726,6.61339612511794,6.61339612511794,0,1,0.2600000000000015,0.0,-0.0121643489989331,-0.4895808654212352,-1.7475771458833833
ARMA32_EGARCH_t_no_X,1427,True,2015-10-09,-1.0087730938808142,0.16215801146716158,-6.220926642807898,6.220926642807898,0,0,-0.3400000000000034,0.0,-0.5364785849595322,0.4236867025988911,0.2110998400555175
ARMA32_EGARCHX_t_devaluation_dummy_only,258,True,2011-02-11,0.7892995332218726,0.047264765388164494,16.699533505343922,16.699533505343922,0,1,-0.4000000000000003,-0.06,0.2680099692429216,-1.2365464042009222,-0.048067218121961
ARMA32_EGARCHX_t_devaluation_dummy_only,2126,True,2018-07-23,0.6770040428685087,0.05994084262764656,11.294536632961073,11.294536632961073,0,0,-0.2400000000000002,0.0699999999999998,0.2220686023605367,-3.4878001646419854,0.3582642472122366
