model,variable,coef,std_error_HAC,t_stat,p_value,significance
HAC_signed_lag1,const,-1.9903949417532096,0.0245755969603395,-80.99070573810847,0.0,***
HAC_signed_lag1,z_vix_change_lag1,-0.006123530028000602,0.009868230923221168,-0.6205296649059132,0.5349091298223294,
HAC_signed_lag1,z_us10y_change_lag1,-0.011626960024983934,0.010622972523389878,-1.0945109760364584,0.27373093614985367,
HAC_signed_lag1,z_dxy_return_lag1,-0.015880247563091057,0.01026380410208462,-1.5472087546824587,0.12181291559022588,
HAC_signed_lag1,z_oil_return_lag1,-0.003769520621111532,0.009313895603339164,-0.40472008509093715,0.6856832767143896,
HAC_signed_lag1,z_vnindex_return_lag1,-0.020947304710268802,0.013164161660249864,-1.5912372736594917,0.1115561873651132,
HAC_signed_lag1,crisis_dummy,-0.09635830487266164,0.08742994521447275,-1.1021201561580176,0.2704094376623436,
HAC_signed_lag1,devaluation_20100211_dummy,1.247468341645302,0.08648304376544975,14.424426885674317,3.6327489952921424e-47,***
HAC_abs_lag1,const,-2.183275599280777,0.036676248584388824,-59.528323739470025,0.0,***
HAC_abs_lag1,abs_z_vix_change_lag1,-0.02372777332329701,0.02051196733537161,-1.156777062645763,0.24736345543958527,
HAC_abs_lag1,abs_z_us10y_change_lag1,0.08594940602371237,0.02154222803538804,3.989810426410899,6.612612474183663e-05,***
HAC_abs_lag1,abs_z_dxy_return_lag1,0.08294896015082123,0.016737950498831,4.955741753245984,7.205486816821145e-07,***
HAC_abs_lag1,abs_z_oil_return_lag1,0.06381277126286455,0.015417059042248096,4.139101438737142,3.486687682326357e-05,***
HAC_abs_lag1,abs_z_vnindex_return_lag1,0.07308529744035851,0.021433646021061008,3.4098397150229993,0.0006500106878732444,***
HAC_abs_lag1,crisis_dummy,-0.1689684141748449,0.08925899779974085,-1.8930126747998897,0.05835618392348758,*
HAC_abs_lag1,devaluation_20100211_dummy,1.231192139061094,0.0888864991082825,13.851283956647256,1.2495833004731612e-43,***
