model,target,shock,horizon_weeks,structural_irf
SVAR_shocks_to_fx_return,fx_return,fx_return,7,-0.007581722160313175
SVAR_shocks_to_fx_return,fx_return,fx_return,8,0.0043167477063362205
SVAR_shocks_to_fx_return,fx_return,fx_return,9,-0.0027344847340741787
SVAR_shocks_to_fx_return,fx_return,fx_return,10,0.001790314819431094
SVAR_shocks_to_fx_return,fx_return,fx_return,11,-0.0007216570877995461
SVAR_shocks_to_fx_return,fx_return,fx_return,12,6.223262709760505e-05
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,0,0.017332513718322718
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,1,0.03456431662970848
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,2,0.03365633859649872
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,3,0.028432217137827627
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,4,0.023734481496188634
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,5,0.019915450775720416
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,6,0.016711760378244775
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,7,0.014023008544226634
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,8,0.011766631420641023
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,9,0.009873344404791397
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,10,0.008284693175957343
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,11,0.006951661050868332
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,vix_change,12,0.005833117714923047
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,0,0.013005241046697272
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,1,-0.018195980825768572
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,2,-0.011138738043602577
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,3,-0.009074170350747264
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,4,-0.007643646200029149
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,5,-0.006423638206972404
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,6,-0.00538933110380719
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,7,-0.0045220824677172314
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,8,-0.003794458055739677
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,9,-0.003183921843666149
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,10,-0.0026716190586415873
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,11,-0.002241747454616566
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,us10y_change,12,-0.0018810434891080908
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,0,-0.029818436219115563
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,1,-0.03348524065314208
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,2,-0.024105455856502773
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,3,-0.020133770130884833
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,4,-0.016937611090260075
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,5,-0.014216685774825214
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,6,-0.011928614024226313
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,7,-0.010009164928721873
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,8,-0.008398666675031884
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,9,-0.007047297310269228
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,10,-0.005913365832702813
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,11,-0.004961887318878887
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,dxy_return,12,-0.004163504614961323
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,0,-0.0538068247717308
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,1,-0.090585796566104
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,2,-0.07959381676588027
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,3,-0.06639390524513882
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,4,-0.055648419132670185
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,5,-0.0466963383210619
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,6,-0.039184181268576784
SVAR_shocks_to_selected_volatility,log_selected_cond_vol,oil_return,7,-0.03287930028126626
