model,parameter,coef,std_error,t_stat,p_value,significant_10pct,significant_5pct,significant_1pct,at_bound
ARMA32_EGARCH_t_no_X,omega,-0.14446989099922375,0.023559953031765148,-6.132010993588973,8.677510569722534e-10,True,True,True,False
ARMA32_EGARCH_t_no_X,alpha_abs_shock,0.4722988654454725,0.03282055750266286,14.390336465404435,5.950571511240495e-47,True,True,True,False
ARMA32_EGARCH_t_no_X,gamma_asymmetry,0.009918779534390635,0.019742128688109137,0.5024169222625322,0.6153742779381398,False,False,False,False
ARMA32_EGARCH_t_no_X,beta_log_variance,0.9644109207430702,0.005387966518023148,178.9934880844274,0.0,True,True,True,False
ARMA32_EGARCH_t_no_X,nu_student_t,2.8298212923746062,0.14064582013382979,20.120194753615323,4.911450828452497e-90,True,True,True,False
ARMA32_EGARCHX_t_devaluation_dummy_only,omega,-0.16440180320226475,0.027304437908021735,-6.021065284554544,1.7327284716196733e-09,True,True,True,False
ARMA32_EGARCHX_t_devaluation_dummy_only,alpha_abs_shock,0.5310843085682634,0.0438245656310388,12.11841579993031,8.437428729266802e-34,True,True,True,False
ARMA32_EGARCHX_t_devaluation_dummy_only,gamma_asymmetry,0.01724795159916532,0.02106951667176775,0.8186211325045171,0.41300260621414997,False,False,False,False
ARMA32_EGARCHX_t_devaluation_dummy_only,beta_log_variance,0.9582138359105802,0.00639321454252687,149.87981860090267,0.0,True,True,True,False
ARMA32_EGARCHX_t_devaluation_dummy_only,nu_student_t,2.780919449153671,0.14577135881119016,19.077269168874576,3.9011645575119323e-81,True,True,True,False
ARMA32_EGARCHX_t_devaluation_dummy_only,delta_devaluation_20100211_dummy,3.0,,,,False,False,False,True
ARMA32_EGARCHX_t_signed_shocks_lag1,omega,-0.1392178109125043,0.024005969710909042,-5.799299615430219,6.659245971138298e-09,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1,alpha_abs_shock,0.4749162426589563,0.034211586114544015,13.881737054484596,8.17387536042567e-44,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1,gamma_asymmetry,0.011235954660706494,0.020141074328693765,0.5578627275457353,0.5769381248844333,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,beta_log_variance,0.9637617726070301,0.005601055745729968,172.0678772643471,0.0,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1,nu_student_t,2.803280813177789,0.1399464452722669,20.031096950865628,2.950859782294138e-89,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_z_vix_change_lag1,0.018596274813119543,0.024660532199613852,0.7540905712250092,0.45079483866550163,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_z_us10y_change_lag1,-0.007584736754023911,0.01990399943267971,-0.3810659651432056,0.703154301342954,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_z_dxy_return_lag1,0.011804646492733167,0.019302459627015416,0.6115617761071015,0.5408277342892462,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_z_oil_return_lag1,-0.033572882590811495,0.02185193749216067,-1.5363801311831358,0.1244451768615716,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_z_vnindex_return_lag1,-0.0017809428138174542,0.01774284054685883,-0.1003752927336514,0.9200463842303845,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1,delta_crisis_dummy,-0.045151569741266426,0.01750346287686146,-2.579579255768533,0.00989207563525005,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1,omega,-0.2658971205125921,0.04866292605793811,-5.464059440158096,4.653675947107927e-08,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1,alpha_abs_shock,0.5050012204057553,0.03693439360876554,13.67292572216225,1.4734943006171813e-42,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1,gamma_asymmetry,0.012755735408086418,0.02084154961757234,0.6120339246430865,0.5405153125611708,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,beta_log_variance,0.951205351038426,0.007365503377406577,129.14329167999773,0.0,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1,nu_student_t,2.8416661653382147,0.14424943925479095,19.699668712880868,2.170354918936504e-86,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_abs_z_vix_change_lag1,-0.02050950397280775,0.01682778365420307,-1.2187881894764614,0.2229245953141067,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_abs_z_us10y_change_lag1,0.03551831163942234,0.024428462690278364,1.4539724455750271,0.14595394570630757,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_abs_z_dxy_return_lag1,0.04248709345139058,0.027354611459384445,1.553196743974029,0.12037613897929042,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_abs_z_oil_return_lag1,0.035604446285872664,0.016572764564949227,2.1483709701141067,0.031684297042434965,True,True,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_abs_z_vnindex_return_lag1,0.01603882926383856,0.018913297776267456,0.8480186508755866,0.39642758386911514,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1,delta_crisis_dummy,-0.07892311081976783,0.021763879358571197,-3.626334695183182,0.00028747270315142444,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,omega,-0.1603302425287438,0.027953012272423954,-5.735705367500299,9.710734545300002e-09,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,alpha_abs_shock,0.5289355744385765,0.04472690295254301,11.825893131921024,2.868356101904234e-32,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,gamma_asymmetry,0.017904635776969543,0.021435899880129155,0.8352640139715779,0.4035690742294836,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,beta_log_variance,0.9573426223340471,0.006705926858020596,142.7606716570464,0.0,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,nu_student_t,2.7684028390966193,0.1442796405978755,19.18775807608564,4.684156557703099e-82,True,True,True,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_z_vix_change_lag1,0.008534863899753251,0.025703823831149837,0.33204646732016807,0.7398541717430439,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_z_us10y_change_lag1,-0.0088251789916001,0.020699817849930264,-0.4263409009480647,0.6698594585218631,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_z_dxy_return_lag1,0.005061418827405855,0.0203739305390625,0.24842623359796503,0.8038046381641096,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_z_oil_return_lag1,-0.033950397391447874,0.022697706706043274,-1.495763331121402,0.13471534010875705,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_z_vnindex_return_lag1,-0.002189940903758611,0.018513072279153314,-0.11829159799827492,0.9058366144849853,False,False,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_crisis_dummy,-0.049433140561941154,0.01937053904797199,-2.5519754736570732,0.010711405875383096,True,True,False,False
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,delta_devaluation_20100211_dummy,3.0,,,,False,False,False,True
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,omega,-0.29524391722160126,0.05253521043586882,-5.619924518661891,1.9104090513263342e-08,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,alpha_abs_shock,0.561580112594244,0.046115837599696494,12.17759758521528,4.091571152617343e-34,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,gamma_asymmetry,0.020668713078948846,0.022060556277844763,0.9369080642679108,0.34880585066788494,False,False,False,False
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,beta_log_variance,0.9439855892748784,0.008308795200045032,113.61281227268212,0.0,True,True,True,False
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,nu_student_t,2.808858818997987,0.14809565187880253,18.966517810372185,3.225800526201042e-80,True,True,True,False
