model,n_obs,converged,convergence_flag,loglik,AIC,BIC,num_params,std_resid_mean,std_resid_std,std_resid_min,std_resid_max,abs_std_resid_gt_3,abs_std_resid_gt_3_ratio,LB_resid_p_lag10,LB_resid_p_lag20,LB_sq_resid_p_lag10,LB_sq_resid_p_lag20,ARCH_LM_p_lag10,passes_sanity,passes_volatility_diagnostics,passes_full_diagnostics,error
"ARMA(3,2)-EGARCH(1,1)-t",4003,True,0,3346.3869101523087,-6684.773820304617,-6659.594622868647,4,-0.05189247575632703,0.9599457616588954,-8.010220568072945,16.472206795349102,47,0.011741194104421683,6.179130903568092e-05,8.534317851320549e-05,0.9962831457650414,0.9999810420780906,0.9962300774014612,True,True,False,
"ARMA(3,2)-EGARCH(1,1)-asym-t",4003,True,0,3346.6617377400817,-6683.323475480163,-6651.849478685201,5,-0.052226511504608795,0.9594149066127013,-7.9550893797022235,16.522995580368335,49,0.012240819385460905,5.9903156856244125e-05,7.971573552084005e-05,0.9961036846645881,0.9999821554630577,0.9961151926325581,True,True,False,
"ARMA(3,2)-GJR-GARCH(1,1)-t",4003,True,0,3146.6594515057914,-6283.318903011583,-6251.84490621662,5,-0.04060614769785302,1.059722592748942,-8.813971956198852,17.542701702033426,65,0.016237821633774668,1.111742186212696e-05,0.0001262394566322386,3.089108871429801e-51,3.5982589255875916e-45,9.859875221633285e-57,True,False,False,
"ARMA(3,2)-GARCH(1,1)-t",4003,True,0,3140.888695550927,-6273.777391101854,-6248.598193665884,4,-0.04009824229113986,1.05452504455334,-8.701384289477803,17.536240146589922,64,0.01598800899325506,1.1419011320663162e-05,0.0001305923778827036,7.358437917656776e-51,8.292224753425677e-45,3.553655442407255e-56,True,False,False,
