model,x_cols,n_obs,loglik,AIC,BIC,num_params,success,diagnostic_burn_in,std_resid_mean,std_resid_std,std_resid_min,std_resid_max,max_abs_std_resid,abs_std_resid_gt_3,abs_std_resid_gt_3_ratio,full_sample_max_abs_std_resid,has_extreme_outlier_full_sample,LB_resid_p_lag10,LB_resid_p_lag20,LB_sq_resid_p_lag10,LB_sq_resid_p_lag20,ARCH_LM_p_lag10,passes_core_sanity,passes_sanity,passes_volatility_diagnostics
ARMA32_EGARCHX_t_devaluation_dummy_only,devaluation_20100211_dummy,3997,3350.2474089155153,-6688.494817831031,-6650.735021678763,6,True,60,-0.055323323765888624,0.9474798419192462,-8.067944399140401,16.699533505343922,16.699533505343922,48,0.01218892839004571,16.699533505343922,False,8.608333009628837e-06,1.1128046188249581e-05,0.9949580268360596,0.9997880116093469,0.9944773937767514,True,True,True
ARMA32_EGARCH_t_no_X,None,3997,3342.486788378879,-6674.973576757758,-6643.507079964201,5,True,60,-0.05502224527102547,0.9688916915968996,-7.930779863590898,16.8237361638288,16.8237361638288,51,0.012950736414423566,20.61014764726207,False,2.801029553285202e-06,4.327008525764489e-06,0.9796003297907563,0.9989773505174186,0.9799861763121507,True,True,True
ARMA32_EGARCHX_t_abs_shocks_lag1_plus_devaluation,"abs_z_vix_change_lag1, abs_z_us10y_change_lag1, abs_z_dxy_return_lag1, abs_z_oil_return_lag1, abs_z_vnindex_return_lag1, crisis_dummy, devaluation_20100211_dummy",3996,3360.5755599137474,-6697.151119827495,-6621.634530150273,12,True,60,-0.05783257491816543,0.940791699698826,-8.268326629999294,14.668999595748787,14.668999595748787,46,0.011684023368046735,14.668999595748787,False,1.2870214367221716e-06,2.7369059828401783e-07,0.9813531420160141,0.9959544238082577,0.9794283855232863,True,True,True
ARMA32_EGARCHX_t_abs_shocks_lag1,"abs_z_vix_change_lag1, abs_z_us10y_change_lag1, abs_z_dxy_return_lag1, abs_z_oil_return_lag1, abs_z_vnindex_return_lag1, crisis_dummy",3996,3353.075032805114,-6684.150065610228,-6614.926525072775,11,True,60,-0.05722730420290686,0.9554131330109226,-8.129509434097077,14.812412293409915,14.812412293409915,50,0.0127000254000508,20.07830923246442,False,4.484080195678333e-07,1.1591342074298386e-07,0.9257417814907773,0.9871939957530478,0.9262288646718511,True,True,True
ARMA32_EGARCHX_t_signed_shocks_lag1_plus_devaluation,"z_vix_change_lag1, z_us10y_change_lag1, z_dxy_return_lag1, z_oil_return_lag1, z_vnindex_return_lag1, crisis_dummy, devaluation_20100211_dummy",3996,3355.4972529058864,-6686.994505811773,-6611.477916134551,12,True,60,-0.056700850154510415,0.9418197113023145,-8.004588931075345,16.447508739213184,16.447508739213184,46,0.011684023368046735,16.447508739213184,False,1.174494409478844e-06,4.001468229641557e-07,0.9946530035653045,0.9997908190821366,0.9942774490322993,True,True,True
ARMA32_EGARCHX_t_signed_shocks_lag1,"z_vix_change_lag1, z_us10y_change_lag1, z_dxy_return_lag1, z_oil_return_lag1, z_vnindex_return_lag1, crisis_dummy",3996,3349.025252251422,-6676.050504502844,-6606.826963965391,11,True,60,-0.05746879123630854,0.958233562831501,-7.935417893410926,16.535641712326676,16.535641712326676,48,0.012192024384048768,19.847809921212143,False,3.529380248377429e-07,1.235409610076556e-07,0.9741391872369017,0.9987955810358214,0.9748863837323956,True,True,True
